"","mesoregion","Year","agec","j12_j18","ach.noj","e40_46","r95_99","a00_b99","all.deaths","PCV2 coverage","PCV3 coverage","log.gdp"
"300","Atlántico_high",2007,1,2,429,1,0,11,441,0,0,14296.6976397774
"301","Atlántico_high",2008,1,4,226,2,0,8,242,0,0,14296.6976397774
"302","Atlántico_high",2008,2,20,137,9,2,20,206,0,0,14296.6976397774
"303","Atlántico_high",2008,3,5,23,7,0,4,40,0,0,14296.6976397774
"304","Atlántico_high",2008,4,3,29,3,0,7,46,0,0,14296.6976397774
"305","Atlántico_high",2009,3,2,21,1,1,6,34,0,0,14296.6976397774
"306","Atlántico_high",2009,2,13,112,19,4,16,177,0,0,14296.6976397774
"307","Atlántico_high",2009,4,3,27,1,0,8,40,0,0,14296.6976397774
"308","Atlántico_high",2009,1,2,385,1,0,11,398,0,0,14296.6976397774
"309","Atlántico_high",2010,4,3,25,2,0,4,41,0,0,14296.6976397774
"310","Atlántico_high",2010,1,3,290,2,1,7,299,0,0,14296.6976397774
"311","Atlántico_high",2010,2,7,96,18,3,14,148,0,0,14296.6976397774
"312","Atlántico_high",2010,3,5,13,1,1,2,25,0,0,14296.6976397774
"313","Atlántico_high",2011,3,1,21,2,1,2,30,99.2249278145695,55.6308176368411,14296.6976397774
"314","Atlántico_high",2011,4,4,24,1,1,5,40,99.2249278145695,55.6308176368411,14296.6976397774
"315","Atlántico_high",2011,1,4,311,0,1,2,323,99.2249278145695,55.6308176368411,14296.6976397774
"316","Atlántico_high",2011,2,13,94,16,2,11,145,99.2249278145695,55.6308176368411,14296.6976397774
"317","Atlántico_high",2012,1,5,320,0,0,3,332,100.4,82.7718827025711,14296.6976397774
"318","Atlántico_high",2012,3,2,14,3,2,2,25,100.4,82.7718827025711,14296.6976397774
"319","Atlántico_high",2012,4,3,30,3,0,0,46,100.4,82.7718827025711,14296.6976397774
"320","Atlántico_high",2012,2,6,108,8,3,23,142,100.4,82.7718827025711,14296.6976397774
"321","Atlántico_high",2013,4,6,42,2,1,4,63,102.707903774573,91.8546529079925,14296.6976397774
"322","Atlántico_high",2013,1,3,385,0,1,4,396,102.707903774573,91.8546529079925,14296.6976397774
"323","Atlántico_high",2013,2,10,101,10,2,21,169,102.707903774573,91.8546529079925,14296.6976397774
"324","Atlántico_high",2013,3,6,30,1,1,8,54,102.707903774573,91.8546529079925,14296.6976397774
"325","Atlántico_high",2014,3,0,29,3,2,4,50,97.5151065284402,94.2690584157268,14296.6976397774
"326","Atlántico_high",2014,2,6,100,8,3,15,151,97.5151065284402,94.2690584157268,14296.6976397774
