"dept.inc","Year","agec","J12_J18_prim","acm_noj_prim","E40_E46_prim","R95_R99_prim","J12_J18_any","R00_R09_prim","G90_G99_prim","N00_N99_prim","P00_P96_prim","A00_B99_prim","Q00_Q99_prim","all.deaths"
"02.high",2009,0,3,69,0,1,3,1,0,0,45,4,6,74
"02.low",2009,0,1,6,0,0,1,1,0,0,2,0,1,8
"02.med",2009,0,6,37,0,0,7,4,0,0,19,1,3,44
"03.low",2009,0,4,32,1,2,5,0,0,0,14,0,3,38
"03.med",2009,0,1,23,1,0,2,0,1,0,17,0,1,28
"04.high",2009,0,19,196,1,1,19,0,5,0,117,4,30,221
"04.low",2009,0,0,5,0,0,0,0,0,0,4,0,0,5
"04.med",2009,0,0,16,1,0,0,0,0,1,9,0,0,18
"05.low",2009,0,7,31,0,0,7,0,0,0,18,2,2,40
"05.med",2009,0,6,82,0,1,7,2,0,0,52,5,5,92
"06.high",2009,0,1,0,0,0,1,0,0,0,0,0,0,1
"06.low",2009,0,11,46,0,1,12,0,1,1,21,0,4,60
"06.med",2009,0,14,98,1,0,17,3,2,0,50,5,7,122
"07.high",2009,0,11,95,2,0,13,0,0,0,55,1,25,108
"08.high",2009,0,3,50,0,0,4,0,0,1,22,2,6,57
"08.low",2009,0,2,92,0,2,3,4,3,0,23,2,6,101
"08.med",2009,0,17,125,1,0,19,1,7,1,73,0,4,150
"09.low",2009,0,9,73,1,0,9,0,4,0,36,1,3,91
"09.med",2009,0,5,19,0,0,5,0,1,0,11,1,1,24
"10.high",2009,0,0,31,0,0,0,0,0,0,18,0,10,32
"10.low",2009,0,10,88,0,1,12,0,1,1,31,6,11,108
"10.med",2009,0,4,32,0,0,4,0,0,0,14,0,7,38
"11.high",2009,0,6,145,1,0,7,0,0,0,103,1,17,154
"12.high",2009,0,12,101,0,1,13,0,4,0,62,4,17,122
"12.low",2009,0,3,8,0,1,4,0,0,0,5,0,0,12
"12.med",2009,0,17,95,5,2,19,0,3,0,39,6,7,125
"13.high",2009,0,5,85,1,1,5,0,1,1,58,2,11,93
"13.low",2009,0,3,29,1,5,3,0,0,0,9,1,2,32
"13.med",2009,0,7,80,1,0,7,0,0,0,47,4,10,88
"14.high",2009,0,8,115,0,0,9,0,1,0,87,1,11,128
"14.low",2009,0,4,6,0,0,6,0,0,0,2,1,0,13
"14.med",2009,0,14,96,4,1,22,0,0,0,49,3,14,121
"15.high",2009,0,62,770,8,3,76,9,12,3,458,36,134,874
"15.med",2009,0,4,54,1,0,5,1,0,0,21,4,11,63
"16.high",2009,0,8,19,0,0,8,0,0,0,10,1,7,28
"16.low",2009,0,4,25,1,0,4,0,0,0,7,11,0,34
"16.med",2009,0,20,74,1,0,21,0,1,0,47,1,15,99
"17.high",2009,0,4,38,1,0,4,0,2,0,19,1,4,42
"18.high",2009,0,2,22,0,0,2,0,2,0,11,0,4,24
"18.med",2009,0,0,6,0,0,0,0,0,0,3,0,1,7
"19.low",2009,0,2,20,0,0,2,0,0,0,7,0,2,23
"19.med",2009,0,6,46,0,0,6,0,0,0,24,2,2,56
"20.high",2009,0,4,108,1,1,6,1,1,1,66,3,21,115
"20.low",2009,0,3,36,1,0,4,1,0,0,19,3,5,42
"20.med",2009,0,6,133,2,2,8,1,2,0,95,1,16,146
"21.low",2009,0,11,149,2,2,12,3,3,5,62,12,8,183
"21.med",2009,0,33,196,1,1,35,5,0,3,102,6,15,251
"22.high",2009,0,2,74,2,0,4,0,0,0,65,0,5,80
"22.low",2009,0,0,8,0,0,1,0,0,0,6,1,0,10
"22.med",2009,0,6,51,1,0,7,0,0,0,35,1,5,63
"23.high",2009,0,8,52,1,0,8,0,2,0,33,1,7,71
"23.med",2009,0,1,1,0,0,1,0,0,0,0,0,0,2
"24.high",2009,0,1,31,1,0,1,0,1,1,25,0,2,32
"24.med",2009,0,0,1,0,0,0,0,0,0,1,0,0,1
"25.high",2009,0,7,154,3,0,11,0,4,1,106,10,20,169
"25.med",2009,0,1,23,1,1,1,0,1,1,15,0,1,24
"01.high",2010,0,1,2,0,0,2,0,0,0,0,0,1,5
"01.low",2010,0,0,1,0,0,0,0,0,0,0,0,0,2
"01.med",2010,0,0,11,0,0,1,2,0,0,1,1,0,12
"02.high",2010,0,4,51,0,3,7,1,2,0,30,2,7,59
"02.low",2010,0,0,5,0,1,0,0,0,0,2,0,1,5
"02.med",2010,0,3,33,1,0,5,1,1,0,15,0,6,41
"03.low",2010,0,5,42,1,0,6,2,0,0,21,1,2,51
"03.med",2010,0,0,15,0,0,1,1,0,1,9,0,0,16
"04.high",2010,0,8,153,0,0,9,1,1,1,81,1,37,165
"04.low",2010,0,0,3,0,0,0,0,0,0,2,0,0,3
"04.med",2010,0,0,15,0,0,0,0,0,0,6,0,4,15
"05.low",2010,0,3,27,0,0,5,0,0,0,18,0,0,34
"05.med",2010,0,6,68,1,1,6,0,3,0,31,2,9,78
"06.high",2010,0,1,1,0,0,1,0,0,0,0,0,0,2
"06.low",2010,0,18,57,0,1,19,0,1,0,33,8,4,79
"06.med",2010,0,14,112,1,2,14,0,0,2,57,13,7,132
"07.high",2010,0,5,83,0,0,7,0,0,1,46,2,27,94
"08.high",2010,0,1,47,0,0,6,0,2,0,26,0,3,54
"08.low",2010,0,9,71,2,0,10,2,2,1,22,1,4,86
"08.med",2010,0,5,91,0,0,7,0,5,0,39,5,7,104
"09.low",2010,0,4,64,0,0,5,1,2,0,34,0,4,71
"09.med",2010,0,3,28,0,0,4,0,0,0,23,0,1,34
"10.high",2010,0,0,33,0,0,0,0,1,0,25,1,5,33
"10.low",2010,0,6,71,3,2,6,0,4,1,30,1,8,80
"10.med",2010,0,2,31,1,0,2,0,2,0,15,0,4,33
"11.high",2010,0,3,146,0,0,6,0,0,1,93,2,30,154
"11.low",2010,0,0,1,0,0,0,0,0,0,1,0,0,1
"11.med",2010,0,0,1,0,0,0,0,0,0,1,0,0,1
"12.high",2010,0,8,139,1,1,11,1,9,3,78,3,18,152
"12.low",2010,0,0,10,1,0,0,0,0,0,6,0,0,12
"12.med",2010,0,12,111,0,0,18,1,7,1,54,3,10,138
"13.high",2010,0,7,107,1,1,7,0,1,0,68,1,20,116
"13.low",2010,0,5,47,1,2,5,0,0,1,25,2,3,55
"13.med",2010,0,7,59,0,0,7,0,4,0,31,2,9,70
"14.high",2010,0,8,119,0,0,11,0,1,2,73,1,25,136
"14.low",2010,0,0,4,0,0,1,0,0,0,2,0,1,5
"14.med",2010,0,12,89,0,1,15,0,4,1,60,2,11,108
"15.high",2010,0,36,769,1,8,58,2,11,4,454,27,167,835
"15.med",2010,0,4,31,0,1,4,0,1,0,7,1,6,37
"16.high",2010,0,4,37,1,0,5,0,0,1,26,0,4,43
"16.low",2010,0,3,10,0,0,3,0,0,0,5,0,1,14
"16.med",2010,0,12,62,1,0,14,0,0,0,40,5,5,79
"17.high",2010,0,1,30,1,0,1,0,1,0,16,2,4,32
"18.high",2010,0,2,12,0,0,4,0,0,0,5,0,2,17
"18.med",2010,0,0,4,0,0,0,0,0,0,1,0,0,4
"19.low",2010,0,0,38,0,0,0,0,0,0,20,0,4,41
"19.med",2010,0,10,48,2,0,10,0,0,0,30,0,0,60
"20.high",2010,0,3,98,1,1,9,0,1,1,61,4,16,109
"20.low",2010,0,4,23,1,0,6,0,0,0,12,2,0,29
"20.med",2010,0,10,140,0,1,14,1,1,1,95,8,10,160
"21.low",2010,0,10,117,2,2,14,1,7,2,44,4,9,141
"21.med",2010,0,22,214,0,1,31,1,8,2,121,7,11,263
"22.high",2010,0,0,50,1,1,0,0,0,0,40,0,4,53
"22.low",2010,0,0,7,0,0,0,0,0,0,5,1,0,7
"22.med",2010,0,9,36,0,0,12,0,1,0,24,0,3,51
"23.high",2010,0,1,55,0,0,1,0,0,0,33,0,12,56
"24.high",2010,0,0,29,0,0,0,0,2,0,23,0,2,30
"24.med",2010,0,0,2,0,0,0,0,1,0,1,0,0,3
"25.high",2010,0,6,122,1,0,15,0,1,1,78,7,23,141
"25.med",2010,0,1,12,0,0,1,0,0,0,7,1,2,15
"01.high",2011,0,0,11,0,0,1,0,1,0,7,0,2,12
"01.low",2011,0,2,12,1,0,2,0,0,0,5,1,1,16
"01.med",2011,0,1,9,0,0,2,0,0,0,3,2,1,14
"02.high",2011,0,4,58,0,0,7,2,0,0,31,2,11,69
"02.low",2011,0,1,6,0,0,1,0,0,0,4,0,0,9
"02.med",2011,0,1,45,2,1,3,1,1,0,23,1,6,51
